familyId,familyName,productId,productName,logoStyle,color,placement,productType,primaryImage,galleryImages,imageStatus,usedInGrid,usedAsDefault,requiresFinalPhotography,missingImageTypes,desiredFileName,notes
tshirt-regular,T-Shirt Regular,t_shirt_small_logo_black,Signature T-Shirt Schwarz · Brustlogo,SIGNATURE,Schwarz,,tshirt,v5-coming-soon.webp,v5-coming-soon.webp,missing,false,false,true,"echtes_primaerfoto; rueckansicht; druckdetail; stoff_naht_detail; lifestyle_getragen; passform_groesse; personalisierungsbeispiel",v3-tshirt-regular-signature-black-chest.webp,Brustlogo-Zielbreite 6 cm (7–9 % der Kleidungsbreite) · requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,signature_t_shirt_black,Signature T-Shirt Schwarz,SIGNATURE,Schwarz,,tshirt,v5-coming-soon.webp,v5-coming-soon.webp,missing,true,true,true,"echtes_primaerfoto; rueckansicht; druckdetail; stoff_naht_detail; lifestyle_getragen; passform_groesse; personalisierungsbeispiel",v3-tshirt-regular-signature-black-front.webp,requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,t_shirt_small_logo_white,Signature T-Shirt Weiß · Brustlogo,SIGNATURE,Weiß,,tshirt,v5-coming-soon.webp,v5-coming-soon.webp,missing,false,false,true,"echtes_primaerfoto; rueckansicht; druckdetail; stoff_naht_detail; lifestyle_getragen; passform_groesse; personalisierungsbeispiel",v3-tshirt-regular-signature-white-chest.webp,Brustlogo-Zielbreite 6 cm (7–9 % der Kleidungsbreite) · requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,signature_t_shirt_white,Signature T-Shirt Weiß,SIGNATURE,Weiß,,tshirt,v5-coming-soon.webp,v5-coming-soon.webp,missing,false,false,true,"echtes_primaerfoto; rueckansicht; druckdetail; stoff_naht_detail; lifestyle_getragen; passform_groesse; personalisierungsbeispiel",v3-tshirt-regular-signature-white-front.webp,requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,pure_tee_beige,PURE T-Shirt Beige,PURE,Beige,,tshirt,v5-coming-soon.webp,v5-coming-soon.webp,placeholder,false,false,true,primaeres_packshot,v3-tshirt-regular-pure-beige-main.webp,Platzhalterkachel – noch kein Produktbild · requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,pure_tee_beige,PURE T-Shirt Beige,PURE,Beige,,tshirt,gen-pure-tee-beige-chest-black.webp,gen-pure-tee-beige-chest-black.webp,ai_mockup,false,false,true,echtes_primaerfoto,v3-tshirt-regular-pure-beige-main.webp,KI-Mockup – vor Verkauf durch echtes Foto ersetzen · requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,pure_tee_beige,PURE T-Shirt Beige,PURE,Beige,,tshirt,gen-b17-pure_tee_beige_silver_chest.webp,gen-b17-pure_tee_beige_silver_chest.webp,ai_mockup,false,false,true,echtes_primaerfoto,v3-tshirt-regular-pure-beige-main.webp,KI-Mockup – vor Verkauf durch echtes Foto ersetzen · requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,pure_tee_beige,PURE T-Shirt Beige,PURE,Beige,,tshirt,v5-coming-soon.webp,v5-coming-soon.webp,placeholder,false,false,true,primaeres_packshot,v3-tshirt-regular-pure-beige-main.webp,Platzhalterkachel – noch kein Produktbild · requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,pure_tee_beige,PURE T-Shirt Beige,PURE,Beige,,tshirt,gen-b17-pure_tee_beige_gold_front.webp,gen-b17-pure_tee_beige_gold_front.webp,ai_mockup,false,false,true,echtes_primaerfoto,v3-tshirt-regular-pure-beige-main.webp,KI-Mockup – vor Verkauf durch echtes Foto ersetzen · requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,pure_tee_beige,PURE T-Shirt Beige,PURE,Beige,,tshirt,v5-coming-soon.webp,v5-coming-soon.webp,placeholder,false,false,true,primaeres_packshot,v3-tshirt-regular-pure-beige-main.webp,Platzhalterkachel – noch kein Produktbild · requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,pure_tee_beige,PURE T-Shirt Beige,PURE,Beige,,tshirt,v5-coming-soon.webp,v5-coming-soon.webp,placeholder,false,false,true,primaeres_packshot,v3-tshirt-regular-pure-beige-main.webp,Platzhalterkachel – noch kein Produktbild · requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,pure_tee_beige,PURE T-Shirt Beige,PURE,Beige,,tshirt,v5-coming-soon.webp,v5-coming-soon.webp,placeholder,false,false,true,primaeres_packshot,v3-tshirt-regular-pure-beige-main.webp,Platzhalterkachel – noch kein Produktbild · requiresRerender: Logo/Flock exakt neu rendern
tshirt-regular,T-Shirt Regular,pure_tee_black,PURE T-Shirt Schwarz,PURE,Schwarz,,tshirt,gen-pure-tee-black-chest-gold.webp,gen-pure-tee-black-chest-gold.webp,ai_mockup,false,false,true,echtes_primaerfoto,v3-tshirt-regular-pure-black-main.webp,KI-Mockup – vor Verkauf durch echtes Foto ersetzen
tshirt-regular,T-Shirt Regular,pure_tee_black,PURE T-Shirt Schwarz,PURE,Schwarz,,tshirt,v4-pure-tee-black-chest.webp,v4-pure-tee-black-chest.webp,ai_mockup,false,false,true,echtes_primaerfoto,v3-tshirt-regular-pure-black-main.webp,KI-Mockup – vor Verkauf durch echtes Foto ersetzen
tshirt-regular,T-Shirt Regular,pure_tee_black,PURE T-Shirt Schwarz,PURE,Schwarz,,tshirt,gen-pure-tee-black-chest-black.webp,gen-pure-tee-black-chest-black.webp,ai_mockup,false,false,true,echtes_primaerfoto,v3-tshirt-regular-pure-black-main.webp,KI-Mockup – vor Verkauf durch echtes Foto ersetzen
